level,id,pw,name,jumin,phoneNum,bank,account,balance,reservationCount,noshowCount,stopDate,limitDate,signOut
1,nqwoen,rzrlo*,권다혜,730525-1782099,010-7219-6172,KEB하나은행,9993-40-5072851,500000,null,null,null,null,null
1,mbsrn,cayyn%,권정준,521229-2415436,010-2693-9398,신한은행,999-224-131513,600000,null,null,null,null,null
1,znmm,ttpeg&,고하혁,840111-2114857,010-6315-4161,신한은행,998-737-932154,930000,null,null,null,null,null
1,sdktv,gvrykf&,오하민,010205-3373140,010-6621-2969,케이뱅크,998-280-591072,590000,null,null,null,null,null
1,igintgcm,keufcn@,권민민,551025-1111822,010-2913-5337,신한은행,998-230-284045,281111,null,null,null,null,null
1,pjrjmmz,gnknurld!,권정혜,730609-1202613,010-1735-1354,IBK기업은행,997-8828-4016-54,40000,null,null,null,null,null
1,jnsmm,esofbv^,양시영,760630-1893280,010-9719-5469,신한은행,997-672-411339,410000,null,null,null,null,null
1,gxsi,voryps%,문태우,960119-2152932,010-4798-3963,우리은행,9952-103-124731,200000,null,null,null,null,null
1,cmzgt,nafhahh@,이준현,041218-3793158,010-9916-2531,부산은행,994-3526-5960,51111,null,null,null,null,null
1,rhfhoch,slwxmrzi#,문경윤,990725-2724479,010-0704-2269,우리은행,9941-364-297153,20000,null,null,null,null,null
1,milalhz,kjkoqkfa!,오지현,010928-3699799,010-6518-8527,카카오뱅크,9925-14-4154644,410000,null,null,null,null,null
1,vgdbalrc,erjxfotg@,조수연,520910-1689463,010-0296-7775,부산은행,992-1454-1438,10000,null,null,null,null,null
1,tcjhwg,kleqifw&,고하석,860908-2756080,010-7715-6213,케이뱅크,991-092-487994,480000,null,null,null,null,null
1,vyqwp,fzuwog$,장경원,980326-1308050,010-9265-1554,케이뱅크,990-016-061764,60000,null,null,null,null,null
1,uqaxnz,ecmuagrl#,최하혜,630211-2190642,010-5909-1050,케이뱅크,986-338-024297,20000,null,null,null,null,null
1,guey,gygngo^,문수석,721106-1093262,010-4477-2037,케이뱅크,986-252-725947,721111,null,null,null,null,null
1,uwsreku,esiiego*,장지연,801003-2511302,010-8563-8323,신한은행,985-959-508598,501111,null,null,null,null,null
1,imoewhk,ravnrie@,고경원,920905-1218826,010-0509-0380,케이뱅크,985-572-315357,310000,null,null,null,null,null
1,lmiohl,smery!,양시혜,870520-1295057,010-6242-0180,NH농협은행,985-5322-6657-03,60000,null,null,null,null,null
1,muluc,zdkqgog!,문민윤,011115-4191138,010-8715-6746,IBK기업은행,984-5985-0368-39,1111,null,null,null,null,null
